Problem,irf96x96x96, setup,7.41 s, time,1.08 ms, ``mflops'',40279,96
Problem,irf128x128x128, setup,8.09 s, time,1.54 ms, ``mflops'',71523,128
Problem,irf160x160x160, setup,12.06 s, time,6.38 ms, ``mflops'',35236,160
Problem,irf192x192x192, setup,14.02 s, time,9.90 ms, ``mflops'',40675,192
Problem,irf224x224x224, setup,14.83 s, time,14.75 ms, ``mflops'',44604,224
Problem,irf256x256x256, setup,15.29 s, time,25.45 ms, ``mflops'',39560,256
Problem,irf288x288x288, setup,22.07 s, time,20.96 ms, ``mflops'',69817,288
Problem,irf320x320x320, setup,23.27 s, time,32.21 ms, ``mflops'',63496,320
Problem,irf352x352x352, setup,21.20 s, time,43.26 ms, ``mflops'',63965,352
Problem,irf384x384x384, setup,28.71 s, time,117.16 ms, ``mflops'',31119,384
Problem,irf416x416x416, setup,26.58 s, time,123.49 ms, ``mflops'',38042,416
Problem,irf448x448x448, setup,33.53 s, time,145.36 ms, ``mflops'',40859,448
Problem,irf480x480x480, setup,46.49 s, time,245.26 ms, ``mflops'',30122,480
Problem,irf512x512x512, setup,43.28 s, time,374.75 ms, ``mflops'',24175,512
Problem,irf544x544x544, setup,44.88 s, time,425.94 ms, ``mflops'',25761,544
Problem,irf576x576x576, setup,61.51 s, time,468.00 ms, ``mflops'',28084,576
Problem,irf608x608x608, setup,59.82 s, time,600.75 ms, ``mflops'',25949,608
Problem,irf640x640x640, setup,72.65 s, time,424.62 ms, ``mflops'',43163,640
Problem,irf672x672x672, setup,81.50 s, time,631.73 ms, ``mflops'',33838,672
Problem,irf704x704x704, setup,82.45 s, time,814.63 ms, ``mflops'',30387,704
Problem,irf736x736x736, setup,95.13 s, time,1.17 s, ``mflops'',24366,736
Problem,irf768x768x768, setup,105.64 s, time,905.26 ms, ``mflops'',35972,768
Problem,irf800x800x800, setup,113.02 s, time,885.96 ms, ``mflops'',41799,800
Problem,irf832x832x832, setup,123.35 s, time,1.14 s, ``mflops'',36814,832
Problem,irf864x864x864, setup,142.27 s, time,1.03 s, ``mflops'',45651,864
Problem,irf896x896x896, setup,146.33 s, time,1.15 s, ``mflops'',46091,896
Problem,irf928x928x928, setup,178.16 s, time,2.29 s, ``mflops'',25813,928
Problem,irf960x960x960, setup,191.98 s, time,2.28 s, ``mflops'',28788,960
Problem,irf992x992x992, setup,199.41 s, time,3.42 s, ``mflops'',21331,992
Problem,irf1024x1024x1024, setup,208.06 s, time,2.39 s, ``mflops'',33752,1024
Problem,irf1056x1056x1056, setup,268.73 s, time,2.43 s, ``mflops'',36494,1056
Problem,irf1088x1088x1088, setup,359.14 s, time,3.77 s, ``mflops'',25853,1088
