Problem,orf96x96x96, setup,3.95 s, time,981.06 us, ``mflops'',44538,96
Problem,orf128x128x128, setup,4.67 s, time,1.40 ms, ``mflops'',78475,128
Problem,orf160x160x160, setup,5.99 s, time,2.91 ms, ``mflops'',77355,160
Problem,orf192x192x192, setup,7.87 s, time,4.30 ms, ``mflops'',93676,192
Problem,orf224x224x224, setup,7.69 s, time,6.21 ms, ``mflops'',1.06E+005,224
Problem,orf256x256x256, setup,7.69 s, time,9.67 ms, ``mflops'',1.04E+005,256
Problem,orf288x288x288, setup,11.07 s, time,17.49 ms, ``mflops'',83708,288
Problem,orf320x320x320, setup,10.96 s, time,21.88 ms, ``mflops'',93461,320
Problem,orf352x352x352, setup,9.73 s, time,36.22 ms, ``mflops'',76392,352
Problem,orf384x384x384, setup,13.71 s, time,43.94 ms, ``mflops'',82969,384
Problem,orf416x416x416, setup,13.93 s, time,58.62 ms, ``mflops'',80135,416
Problem,orf448x448x448, setup,17.43 s, time,74.52 ms, ``mflops'',79700,448
Problem,orf480x480x480, setup,22.63 s, time,86.38 ms, ``mflops'',85523,480
Problem,orf512x512x512, setup,21.56 s, time,94.53 ms, ``mflops'',95840,512
Problem,orf544x544x544, setup,22.37 s, time,291.27 ms, ``mflops'',37671,544
Problem,orf576x576x576, setup,34.09 s, time,157.14 ms, ``mflops'',83638,576
Problem,orf608x608x608, setup,28.54 s, time,436.22 ms, ``mflops'',35737,608
Problem,orf640x640x640, setup,42.49 s, time,161.07 ms, ``mflops'',1.14E+005,640
Problem,orf672x672x672, setup,48.28 s, time,237.90 ms, ``mflops'',89855,672
Problem,orf704x704x704, setup,46.47 s, time,291.53 ms, ``mflops'',84911,704
Problem,orf736x736x736, setup,47.88 s, time,758.46 ms, ``mflops'',37546,736
Problem,orf768x768x768, setup,60.92 s, time,275.65 ms, ``mflops'',1.18E+005,768
Problem,orf800x800x800, setup,69.61 s, time,432.06 ms, ``mflops'',85712,800
Problem,orf832x832x832, setup,73.31 s, time,527.66 ms, ``mflops'',79409,832
Problem,orf864x864x864, setup,84.92 s, time,737.00 ms, ``mflops'',64026,864
Problem,orf896x896x896, setup,89.39 s, time,775.39 ms, ``mflops'',68237,896
Problem,orf928x928x928, setup,88.74 s, time,1.89 s, ``mflops'',31264,928
Problem,orf960x960x960, setup,110.12 s, time,1.64 s, ``mflops'',40054,960
Problem,orf992x992x992, setup,105.97 s, time,2.62 s, ``mflops'',27832,992
Problem,orf1024x1024x1024, setup,126.64 s, time,1.58 s, ``mflops'',50964,1024
Problem,orf1056x1056x1056, setup,151.27 s, time,1.98 s, ``mflops'',44774,1056
Problem,orf1088x1088x1088, setup,202.67 s, time,3.10 s, ``mflops'',31389,1088
