Problem,orf96x96x96, setup,4.00 s, time,990.62 us, ``mflops'',44108
Problem,orf128x128x128, setup,4.68 s, time,1.42 ms, ``mflops'',77358
Problem,orf160x160x160, setup,5.94 s, time,2.97 ms, ``mflops'',75747
Problem,orf192x192x192, setup,7.77 s, time,4.50 ms, ``mflops'',89426
Problem,orf224x224x224, setup,7.83 s, time,6.36 ms, ``mflops'',1.0341e+05
Problem,orf256x256x256, setup,7.40 s, time,10.26 ms, ``mflops'',98074
Problem,orf288x288x288, setup,11.00 s, time,17.54 ms, ``mflops'',83469
Problem,orf320x320x320, setup,11.62 s, time,22.49 ms, ``mflops'',90934
Problem,orf352x352x352, setup,10.18 s, time,37.79 ms, ``mflops'',73222
Problem,orf384x384x384, setup,13.82 s, time,41.59 ms, ``mflops'',87650
Problem,orf416x416x416, setup,13.75 s, time,64.73 ms, ``mflops'',72578
Problem,orf448x448x448, setup,17.39 s, time,87.92 ms, ``mflops'',67557
Problem,orf480x480x480, setup,22.30 s, time,87.04 ms, ``mflops'',84875
Problem,orf512x512x512, setup,21.80 s, time,89.79 ms, ``mflops'',1.009e+05
Problem,orf544x544x544, setup,24.32 s, time,317.68 ms, ``mflops'',34539
Problem,orf576x576x576, setup,34.44 s, time,155.58 ms, ``mflops'',84477
Problem,orf608x608x608, setup,30.28 s, time,438.26 ms, ``mflops'',35570
Problem,orf640x640x640, setup,43.06 s, time,172.97 ms, ``mflops'',1.0596e+05
Problem,orf672x672x672, setup,48.07 s, time,262.28 ms, ``mflops'',81504
Problem,orf704x704x704, setup,49.66 s, time,328.27 ms, ``mflops'',75407
Problem,orf736x736x736, setup,48.02 s, time,780.93 ms, ``mflops'',36465
Problem,orf768x768x768, setup,62.04 s, time,284.12 ms, ``mflops'',1.1461e+05
Problem,orf800x800x800, setup,67.04 s, time,427.16 ms, ``mflops'',86695
Problem,orf832x832x832, setup,73.64 s, time,494.92 ms, ``mflops'',84661
Problem,orf864x864x864, setup,87.24 s, time,561.70 ms, ``mflops'',84007
Problem,orf896x896x896, setup,92.26 s, time,536.18 ms, ``mflops'',98679
Problem,orf928x928x928, setup,87.63 s, time,1.96 s, ``mflops'',30210
Problem,orf960x960x960, setup,125.69 s, time,750.40 ms, ``mflops'',87604
Problem,orf992x992x992, setup,133.71 s, time,2.96 s, ``mflops'',24588
Problem,orf1024x1024x1024, setup,129.46 s, time,860.63 ms, ``mflops'',93572
Problem,orf1056x1056x1056, setup,180.12 s, time,1.35 s, ``mflops'',65875
Problem,orf1088x1088x1088, setup,201.89 s, time,2.37 s, ``mflops'',41198
